序号,简体,繁体,异体,日文
1,一,一,壹,一
2,乙,乙,乛,乙
3,二,二,贰,二
4,十,十,什,十
5,丁,丁,钉,丁
6,七,七,柒,七
7,厂,廠,厂,廠
8,卜,卜,蔔,卜
9,八,八,捌,八
10,人,人,亻,人
11,入,入,込,入
12,儿,兒,児,児
13,几,幾,几,幾
14,九,九,玖,九
15,刁,刁,刀,刁
16,了,了,瞭,了
17,刀,刀,刂,刀
18,力,力,力,力
19,乃,乃,迺,乃
20,又,又,右,又
21,三,三,叁,三
22,干,乾/幹,干,干
23,于,於,扵,於
24,亏,虧,亏,虧
25,工,工,功,工
26,土,土,圡,土
27,士,士,仕,士
28,才,才,材,才
29,下,下,丅,下
30,寸,寸,吋,寸
31,大,大,亣,大
32,丈,丈,仗,丈
33,与,與,与,与
34,万,萬,万,万
35,上,上,丄,上
36,小,小,尐,小
37,口,口,囗,口
38,山,山,㠯,山
39,巾,巾,㠷,巾
40,千,千,仟,千
41,乞,乞,叾,乞
42,川,川,氚,川
43,亿,億,亿,億
44,个,個,箇,個
45,勺,勺,杓,勺
46,凡,凡,凢,凡
47,丸,丸,芄,丸
48,及,及,㕡,及
49,久,久,乆,久
50,么,麼,麽,麼
51,义,義,乂,義
52,之,之,㞢,之
53,尸,屍,尸,尸
54,己,己,巳,己
55,已,已,㠯,已
56,巳,巳,㐌,巳
57,弓,弓,躬,弓
58,女,女,㜊,女
59,飞,飛,飞,飛
60,刃,刃,刄,刃
61,习,習,习,習
62,叉,叉,扠,叉
63,马,馬,马,馬
64,乡,鄉,鄕,郷
65,丰,豐,丰,豊
66,王,王,玉,王
67,井,井,丼,井
68,开,開,開,開
69,夫,夫,伉,夫
70,天,天,忝,天
71,无,無,无,無
72,元,元,原,元
73,云,雲,云,雲
74,专,專,専,専
75,扎,扎,紮,扎
76,艺,藝,芸,芸
77,木,木,朩,木
78,五,五,伍,五
79,支,支,枝,支
80,厅,廳,厅,庁
81,不,不,否,不
82,犬,犬,犭,犬
83,太,太,泰,太
84,区,區,区,区
85,历,歷/曆,曆,歴
86,尤,尤,尢,尤
87,友,友,㕛,友
88,匹,匹,疋,匹
89,车,車,車,車
90,巨,巨,鉅,巨
91,牙,牙,芽,牙
92,屯,屯,囤,屯
93,比,比,㕣,比
94,互,互,㐅,互
95,切,切,沏,切
96,瓦,瓦,瓩,瓦
97,止,止,趾,止
98,少,少,尐,少
99,日,日,曰,日
100,中,中,仲,中
101,贝,貝,贝,貝
102,内,内,內,内
103,水,水,氵,水
104,见,見,見,見
105,午,午,仵,午
106,牛,牛,牜,牛
107,手,手,扌,手
108,气,氣,気,気
109,毛,毛,髦,毛
110,升,升,昇,昇
111,长,長,長,長
112,仁,仁,忎,仁
113,什,什,甚,什
114,片,片,爿,片
115,仆,僕,仆,僕
116,化,化,㐶,化
117,仇,仇,讐,仇
118,币,幣,币,幣
119,仍,仍,㧨,仍
120,仅,僅,仅,僅
121,斤,斤,觔,斤
122,爪,爪,㕚,爪
123,反,反,返,反
124,介,介,界,介
125,父,父,㕛,父
