序号,简体,繁体,异体,日文
1,亜,亞,亜,亜
2,爱,愛,爱,愛
3,安,安,安,安
4,暗,暗,闇,暗
5,案,案,桉,案
6,奥,奧,奥,奥
7,八,八,捌,八
8,把,把,㧵,把
9,白,白,皁,白
10,百,百,佰,百
11,班,班,斑,班
12,般,般,㪶,般
13,版,版,板,版
14,半,半,㪻,半
15,办,辦,瓣,弁
16,包,包,胞,包
17,宝,寶,寳,宝
18,报,報,报,報
19,悲,悲,㤄,悲
20,北,北,背,北
21,备,備,俻,備
22,背,背,揹,背
23,被,被,衱,被
24,本,本,夲,本
25,比,比,㐶,比
26,笔,筆,笔,筆
27,必,必,㕝,必
28,毕,畢,毕,畢
29,边,邊,辺,辺
30,变,變,変,変
31,标,標,標,標
32,表,表,錶,表
33,别,別,别,別
34,兵,兵,㐭,兵
35,病,病,疾,病
36,博,博,䈬,博
37,不,不,否,不
38,布,布,佈,布
39,步,步,㐵,歩
40,才,才,材,才
41,材,材,才,材
42,采,採,采,採
43,彩,彩,綵,彩
44,参,參,叁,参
45,残,殘,残,残
46,操,操,㐬,操
47,草,草,艸,草
48,册,冊,册,冊
49,层,層,層,層
50,差,差,㐂,差
51,查,查,査,查
52,产,產,産,産
53,长,長,镸,長
54,常,常,裳,常
55,厂,廠,厂,廠
56,场,場,場,場
57,唱,唱,倡,唱
58,车,車,車,車
59,彻,徹,撤,徹
60,陈,陳,陳,陳
61,称,稱,称,称
62,城,城,城,城
63,程,程,程,程
64,吃,吃,喫,吃
65,持,持,持,持
66,充,充,充,充
67,春,春,旾,春
68,词,詞,詞,詞
69,此,此,此,此
70,次,次,次,次
71,从,從,从,従
72,村,村,村,村
73,存,存,存,存
74,错,錯,錯,錯
75,打,打,打,打
76,大,大,大,大
77,代,代,代,代
78,带,帶,带,帯
79,单,單,単,単
80,但,但,但,但
81,当,當,当,当
82,党,黨,党,党
83,道,道,道,道
84,德,德,徳,徳
85,等,等,等,等
86,低,低,低,低
87,敌,敵,敌,敵
88,底,底,底,底
89,地,地,地,地
90,第,第,第,第
91,点,點,点,点
92,电,電,电,電
93,调,調,調,調
94,定,定,定,定
95,东,東,东,東
96,冬,冬,冬,冬
97,动,動,动,動
98,都,都,都,都
99,读,讀,読,読
100,度,度,度,度
101,段,段,段,段
102,对,對,对,対
103,多,多,多,多
104,而,而,而,而
105,儿,兒,児,児
106,尔,爾,尒,爾
107,二,二,二,二
108,发,發,发,発
109,法,法,法,法
110,反,反,反,反
111,方,方,方,方
112,放,放,放,放
113,飞,飛,飞,飛
114,非,非,非,非
115,分,分,分,分
116,份,份,份,份
117,风,風,风,風
118,夫,夫,夫,夫
119,服,服,服,服
120,福,福,福,福
121,府,府,府,府
122,父,父,父,父
123,付,付,付,付
124,妇,婦,妇,婦
125,复,復/複,复,復
126,该,該,该,該
127,改,改,改,改
128,干,乾,干,干
129,感,感,感,感
130,刚,剛,刚,剛
131,高,高,高,高
132,告,告,告,告
133,哥,哥,哥,哥
134,歌,歌,歌,歌
135,革,革,革,革
136,格,格,格,格
137,个,個,个,個
138,各,各,各,各
139,给,給,给,給
140,根,根,根,根
141,跟,跟,跟,跟
142,更,更,更,更
143,工,工,工,工
144,公,公,公,公
145,功,功,功,功
146,共,共,共,共
147,够,夠,够,够
148,姑,姑,姑,姑
149,古,古,古,古
150,故,故,故,故
151,顾,顧,顾,顧
152,关,關,关,関
153,观,觀,观,観
154,官,官,官,官
155,管,管,管,管
156,光,光,光,光
157,广,廣,广,広
158,规,規,规,規
159,国,國,国,国
160,果,果,果,果
161,过,過,过,過
162,海,海,海,海
163,害,害,害,害
164,好,好,好,好
165,号,號,号,号
166,河,河,河,河
167,和,和,和,和
168,合,合,合,合
169,何,何,何,何
170,黑,黑,黑,黒
171,很,很,很,很
172,红,紅,红,紅
173,后,後,后,後
174,候,候,候,候
175,花,花,花,花
176,华,華,华,華
177,画,畫,画,画
178,划,劃,划,劃
179,化,化,化,化
180,话,話,话,話
181,还,還,还,還
182,回,回,回,回
183,会,會,会,会
184,活,活,活,活
185,火,火,火,火
186,机,機,机,機
187,基,基,基,基
188,及,及,及,及
189,级,級,级,級
190,极,極,极,極
191,几,幾,几,幾
192,己,己,己,己
193,记,記,记,記
194,计,計,计,計
